Item,Value Production(in million pesos),,,Growth Rate (in percent),
,2018,2019,2020,2019,2020
Current Price,,,,,
Anual ,"53,356","63,532","74,156",19.1,16.7
January-March,"13,659","14,548","18,117",6.5,24.5
April-June,"12,675","14,377","17,861",13.4,24.2
July-September,"13,240","16,045","19,156",21.2,19.4
October-December,"13,782","18,562","19,022",34.7,2.5
Current Price (2018=100),,,,,
Anual ,"53,356","58,288","60,540",9.2,3.9
January-March,"13,659","14,859","15,503",8.8,4.3
April-June,"12,675","13,676","14,353",7.9,4.9
July-September,"13,240","14,411","15,278",8.8,6
October-December,"13,782","15,342","15,405",11.3,0.4
