Region,Volume of Production 2018,Volume of Production 2019,Volume of Production 2020
Philippines,"533,905","583,234","605,786"
CAR,"3,936","4,072","4,608"
I- Ilocos Region,"18,588","19,578","21,230"
II- Cagayan Valley,"14,331","14,787","14,196"
III- Central Luzon,"105,238","118,182","122,267"
IVA- CALABARZON,"156,317","174,939","184,747"
MIMAROPA Region,"6,612","6,942","7,438"
V- Bicol Region,"13,434","14,836","14,856"
VI- Western Visayas,"34,351","35,939","37,017"
VII- Central Visayas,"52,139","53,863","55,181"
VIII- Eastern Visayas,"4,253","4,547","5,841"
IX- Zamboanga Peninsula,"13,519","16,185","16,882"
X- Northern Mindanao,"47,788","49,204","52,093"
XI- Davao Region,"26,123","31,651","30,134"
XII- SOCCSKSARGEN,"25,846","27,145","27,013"
XIII- Caraga,"8,174","8,017","8,490"
BARMM,"3,256","3,347","3,794"
