Region/Province,Volume of Production 2018,Volume of Production 2019,Volume of Production 2020
Philippines,"533,905","583,234","605,786"
CAR,"3,936","4,072","4,608"
Abra,333,328,283
Apayao,117,160,276
Benguet,969,963,"1,232"
Ifugao,"1,674","1,779","1,914"
Kalinga,385,402,443
Mountain Province,458,440,461
I - Ilocos Region,"18,588","19,578","21,230"
Ilocos Norte,"6,813","8,680","9,611"
Ilocos Sur,"2,023","1,558","1,638"
La Union,"4,293","4,066","4,415"
Pangasinan,"5,459","5,273","5,566"
II - Cagayan Valley,"14,331","14,787","14,196"
Batanes,89,88,77
Cagayan,"3,800","3,195","2,831"
Isabela,"7,713","8,802","8,092"
Nueva Vizcaya,"1,033",944,906
Quirino,"1,696","1,757","2,290"
III - Central Luzon,"105,238","118,182","122,267"
Aurora,220,182,185
Bataan,"2,322","2,069","1,661"
Bulacan,"27,133","28,322","26,362"
Nueva Ecija,"7,189","8,484","7,315"
Pampanga,"47,869","59,569","69,720"
Tarlac,"19,224","18,391","15,826"
Zambales,"1,281","1,166","1,198"
IVA - CALABARZON,"156,317","174,939","184,747"
Batangas,"120,072","137,963","151,878"
Cavite,"6,324","6,469","5,581"
Laguna,"3,792","4,120","2,116"
Quezon,"6,471","6,774","6,924"
Rizal,"19,659","19,613","18,247"
MIMAROPA Region,"6,612","6,942","7,438"
Marinduque,211,210,201
Occidental Mindoro,"1,037",971,"1,101"
Oriental Mindoro,"1,552","1,565","1,796"
Palawan,"3,270","3,705","3,500"
Romblon,542,492,840
V - Bicol Region,"13,434","14,836","14,856"
Albay,"2,510","2,866","2,804"
Camarines Norte,714,686,671
Camarines Sur,"7,821","8,663","8,407"
Catanduanes,106,256,269
Masbate,"1,046","1,111","1,160"
Sorsogon,"1,237","1,254","1,546"
VI - Western Visayas,"34,351","35,939","37,017"
Aklan,"1,615","1,716","1,789"
Antique,"2,189","2,300","2,369"
Capiz,"4,374","4,478","4,628"
Guimaras,"1,185","1,175","1,102"
Iloilo,"11,766","12,532","12,718"
Negros Occidental,"13,222","13,738","14,411"
VII - Central Visayas,"52,139","53,863","55,181"
Bohol,"7,351","6,704","5,556"
Cebu,"41,649","43,815","45,992"
Negros Oriental,"2,711","2,986","3,261"
Siquijor,428,358,372
VIII - Eastern Visayas,"4,253","4,547","5,841"
Biliran,244,228,211
Eastern Samar,82,76,64
Leyte,686,626,642
Northern Samar,"1,126","1,183","1,900"
Samar,"1,093","1,252","1,691"
Southern Leyte,"1,021","1,183","1,333"
IX - Zamboanga Paninsula,"13,519","16,185","16,882"
Zamboanga del Norte,"3,633","3,620","4,213"
Zamboanga del Sur,"3,098","4,245","3,732"
Zamboanga Sibugay,912,776,825
Zamboanga City,"5,875","7,544","8,112"
X - Nothern Mindanao,"47,788","49,204","52,093"
Bukidnon,"32,374","32,939","34,162"
Camiguin,210,226,273
Lanao del Norte,"1,878","2,160","2,478"
Misamis Occidental,"2,562","2,634","3,540"
Misamis Oriental,"10,763","11,244","11,640"
XI- Davao Region,"26,123","31,651","30,134"
Davao de Oro,"1,018","1,016","1,161"
Davao del Norte,"3,165","4,632","4,673"
Davao del Sur,"2,894","2,580","2,734"
Davao Occidental,0,390,387
Davao Oriental,"1,733","1,480","1,427"
Davao City,"17,313","21,553","19,751"
XII - SOCCSKSARGEN,"25,846","27,145","27,013"
Cotabato,"2,943","2,750","3,050"
Sarangani,273,259,263
South Cotabato,"21,646","23,333","22,951"
Sultan Kudarat,985,803,748
XIII - Caraga,"8,174","8,017","8,490"
Agusan del Norte,"4,894","4,934","5,189"
Agusan del Sur,"1,780","1,755","1,929"
Surigao del Norte,486,283,258
Surigao del Sur,868,896,986
Dinagat Islands,145,150,129
BARMM,"3,256","3,347","3,794"
Basilan,626,710,563
Lanao del Sur,"1,484","1,499","2,072"
Maguindanao,124,156,171
Sulu,535,511,512
Tawi-tawi,487,472,475
